"id","slug","pub_date","pub_time","story_url","story_short_url","featured_image_url","post_twitter","post_facebook","pub_ready_copy","pub_ready_online","sent","sending","sent_time","sent_error","sent_error_text","last_edit_user_id","pub_ready_copy_user_id","pub_ready_online_user_id","section_id","send_now","id_facebook","id_twitter","post_instagram","post_notes"
198,"sp.xc.wrap","2019-10-14","20:18:00","","","",".@UCLAXC didn't make the podium in their regular season finale. ","Cross country didn't make the podium in their regular season finale. ",False,False,False,False,"",False,"",3,"","",1,False,"0","0","",""
195,"sp.Dribble.nbk.3","2019-10-14","20:18:00","","","","Guru Simran passed away nine ago at the age from an inoperable brain tumor.

The GuruSimran #8 team at Dribble for the Cure has participated for the past decade.","The team has brought at least 35 participants every year, raising $9,000 in the first two years and $3,000 up until this year.",True,False,False,False,"",False,"",3,17,"","",False,"0","0","",""
197,"sp.dribble.flatpage","2019-10-14","20:18:00","","","","This year was UCLA's 11th annual Dribble for the Cure. The event fell on what would have been coach John Wooden's 108th birthday. 

Here are the stories behind the families, cancer survivors and volunteers. ","And they were off. Hundred headed on a 1-mile course for UCLA's 11th annual Dribble for the Cure. The event fell on what would have been coach John Wooden's 108th birthday. 

Here are the stories behind the families, cancer survivors and volunteers. ",False,False,False,False,"",False,"",3,"","",1,False,"0","0","",""
201,"sp.dribble.nbk1","2019-10-14","18:30:00","https://features.dailybruin.com/2018/dribble-for-the-cure/#Drake","","","At 16, Samantha Bodger was diagnosed with osteosarcoma. 

Now, the UCLA student is 1 1/2 years cancer-free and an advocate for other children facing cancer.","Samantha Bodger had a choice: amputate her leg or live with a nearly useless ankle. ",True,True,False,False,"",False,"",3,17,3,1,False,"0","0","",""
2484,"news.globaljazzfollowup","2019-04-01","11:56:00","","","","Students in the global jazz major focus on different styles and interpretations of jazz around the world and how they intersect.","Under the new department, global jazz students learn about musical techniques from around the world, jazz history and the blending of jazz with music from other cultures.",False,False,False,False,"",False,"",18,"","",1,False,"0","0","",""
1369,"photo.mbbvsua","2020-01-26","09:30:00","http://dailybruin.com/2019/01/26/ucla-mens-basketball-ends-three-game-losing-streak-in-game-against-arizona/","","","","The Bruins triumphed over the Arizona Wildcats, beating them in Pauley Pavilion for the first time since 2016.",True,True,False,False,"",False,"",3,38,3,1,False,"0","0","",""
475,"sp.s&d.wrap.11.4","2019-11-04","16:50:00","","","",".@UCLASwimAndDive is now undefeated to start its season after wins against Arizona and Arizona State this weekend.","UCLA swimming and diving is 3-0 to start the year after defeating Arizona and Arizona State in its first home meets this weekend.",True,False,False,False,"",False,"",3,33,"",1,False,"0","0","",""
2512,"a&e.theartofsurvival","2019-04-02","14:44:00","","","","""The Art of Survival"" follows a female character who buys into the charms of a flirtatious doomsday prepper whose paranoid mantra of survival grows abusive.","",True,False,False,False,"",False,"",36,36,"",5,False,"0","0","",""
2509,"a&e.stagparty","2019-04-02","14:36:00","","","","Four young women begin filming and distributing their own stag films – a subgenre of pornographic films from the 1920s – in the series ""STAG PARTIES,"" made by UCLA student Maya Rose Dittloff.","",True,False,False,False,"",False,"",36,36,"",5,False,"0","0","",""
2497,"sp.mvb.wrap.4.1.19","2019-04-01","17:29:31.734289","http://dailybruin.com/2019/04/01/mens-volleyball-breaks-losing-streak-outleaping-antelopes-3-1/","","http://dailybruin.com/images/2019/04/web.sp_.mvb_.wrap_.DB_-640x428.jpg",".@UCLAMVB broke one record and snapped its losing streak with a 3-1 win over Grand Canyon on Sunday.","",True,True,True,False,"2019-04-02 00:29:32.123107+00",False,"",3,36,3,4,True,"0","1112874669235826688","",""
1850,"nes.bruintea.gymhours","2020-02-19","20:19:00","","","","It's more expensive to open Wooden for 24 hours during the weekends. 

So that's why you can't fit in your 2 a.m. sweat session.","You can't get in a 2 a.m. sweat session at Wooden during the weekends. 

Here's why. ",True,False,False,False,"",False,"",14,14,"",1,False,"0","0","",""
2529,"sp.t&f.nbk.4.2","2019-04-02","19:44:00","","","",".@UCLATrack_Field and its women's distance team have made strides in recent years, with younger runners performing well at the first home meets of the season.","",True,False,False,False,"",False,"",27,27,"",4,False,"0","0","",""
2530,"sp.ATL.4.2.19","2019-04-02","20:05:00","","","","The Pac-12 took over the D1Baseball top 25, while conference play kept rolling in softball and men's tennis.","",True,False,False,False,"",False,"",27,27,"",1,False,"0","0","",""
2531,"sp.ATL.4.2.19","2019-04-02","20:05:00","","","","Conference play kept rolling along in the Pac-12 in baseball, softball and men's tennis, with teams creeping up rankings, completing sweeps and getting upset.","",True,False,False,False,"",False,"",27,27,"",4,False,"0","0","",""
